Word,Frequency
software,3471
system,2867
development,2343
use,2334
role,2122
java,1804
requirements,1743
process,1701
based,1667
data,1547
uml,1463
model,1404
description,1263
design,1253
generate,1223
project,1220
target,1216
job,1211
resume,1202
interview,1201
questions,1200
management,1114
used,1049
analysis,997
diagrams,970
class,950
systems,928
classes,847
using,835
object,763
time,756
ensure,755
would,745
cases,730
difference,717
explain,712
code,707
impact,700
testing,693
unified,682
ensuring,680
purpose,680
user,637
modeling,626
case,619
engineering,616
include,616
components,613
challenges,601
models,598
